Date,Srad,Tmax,Tmin,Vapr,Tdew,RHmax,RHmin,Wndsp,Rain,Etref,MorP
2025-119,19.45,30.17,12.79,,5.67,54.75,19.95,2.77,0.43,,M
2025-120,19.79,33.04,16.54,,5.06,39.32,20.02,4.29,0.3,,M
2025-121,23.82,31.96,14.79,,8.7,62.5,20.34,3.19,0.0,,M
2025-122,21.29,36.67,15.14,,11.94,66.46,26.86,3.39,1.45,,M
2025-123,22.61,24.7,14.11,,7.07,70.11,28.19,2.96,0.0,,M
2025-124,17.57,24.3,14.02,,6.44,54.21,32.42,2.71,0.0,,M
2025-125,19.87,27.42,15.21,,7.43,54.76,23.82,3.79,0.1,,M
2025-126,21.98,26.74,14.63,,3.25,41.95,10.48,3.39,0.12,,M
2025-127,19.4,26.31,15.42,,10.22,64.32,40.78,4.29,1.58,,M
2025-128,11.87,24.41,18.73,,14.13,79.61,50.53,4.0,3.8,,M
2025-129,18.1,24.56,16.91,,12.12,95.12,33.26,4.97,10.35,,M
2025-130,19.57,25.95,12.77,,4.25,54.21,21.1,3.11,0.0,,M
2025-131,24.41,31.53,10.91,,6.29,59.32,14.24,2.62,0.62,,M
2025-132,21.63,35.12,14.05,,7.65,50.36,20.03,1.97,0.0,,M
2025-133,12.84,33.46,19.76,,14.66,67.25,33.52,1.67,0.21,,M
2025-134,16.67,32.01,19.61,,15.52,67.89,39.87,3.08,0.0,,M
2025-135,18.05,29.87,18.51,,13.57,77.09,28.26,2.3,0.0,,M
2025-136,20.61,34.99,17.14,,14.41,71.33,30.62,1.8,0.0,,M
2025-137,20.19,30.7,20.86,,8.42,61.52,12.87,3.98,0.0,,M
2025-138,21.59,32.26,16.68,,7.88,47.35,27.34,2.07,0.0,,M
2025-139,23.4,39.92,17.98,,14.31,69.74,15.83,2.03,0.0,,M
2025-140,21.21,38.36,20.94,,16.08,65.67,27.73,1.65,0.0,,M
2025-141,20.84,37.19,22.42,,18.94,71.86,37.03,3.14,0.0,,M
2025-142,5.6,28.01,14.55,,15.67,97.74,46.13,2.75,30.49,,M
2025-143,11.28,20.97,14.65,,11.57,93.85,57.43,1.7,0.01,,M
2025-144,23.28,26.36,11.66,,11.73,94.18,27.77,2.1,0.0,,M
2025-145,6.21,22.32,12.94,,11.01,80.95,51.62,1.5,0.0,,M
2025-146,22.01,30.18,12.05,,12.39,90.18,28.07,1.85,0.0,,M
2025-147,14.51,30.45,17.86,,11.57,65.42,29.67,2.03,0.03,,M
2025-148,22.0,31.05,16.23,,11.38,69.99,24.89,2.33,0.0,,M
2025-149,19.75,32.59,19.33,,11.97,57.55,28.09,2.68,0.0,,M
2025-150,15.12,31.34,20.14,,12.69,64.22,27.94,2.25,0.04,,M
2025-151,8.19,28.05,20.62,,16.72,85.18,45.24,1.96,0.33,,M
2025-152,7.85,25.33,20.17,,14.66,71.65,45.21,2.15,0.0,,M
