time_step_counter,growing_season,dap,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,Date
77.0,1.0,64.0,0.1552373609176102,0.2385906116820915,0.23676670230995311,0.24928641068807528,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-17
78.0,1.0,65.0,0.15483024834837297,0.2385906116820915,0.23676670230995311,0.2491486778906364,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-18
79.0,1.0,66.0,0.15451848489332146,0.2385906116820915,0.23676670230995311,0.24914813636422897,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-19
80.0,1.0,67.0,0.15403392765386142,0.2385906116820915,0.23676670230995311,0.24808661309509955,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-20
81.0,1.0,68.0,0.15354247068287932,0.2385906116820915,0.23676670230995311,0.24776445250695797,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-21
82.0,1.0,69.0,0.1532822032536075,0.2385906116820915,0.23676670230995311,0.24776445250695797,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-22
83.0,1.0,70.0,0.15296184756838896,0.2385906116820915,0.23676670230995311,0.24749544482821526,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-23
84.0,1.0,71.0,0.15264453042194895,0.2385906116820915,0.23676670230995311,0.24723571605449987,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-24
85.0,1.0,72.0,0.15219517860602422,0.2385906116820915,0.23676670230995311,0.243813732528063,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-25
86.0,1.0,73.0,0.15179521328734955,0.2385906116820915,0.23676670230995311,0.2426097769593795,0.287,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2024-12-26
