Date,time_step_counter,season_counter,dap,gdd,gdd_cum,z_root,canopy_cover,canopy_cover_ns,biomass,biomass_ns,harvest_index,harvest_index_adj,DryYield,FreshYield,YieldPot
2026-04-17,198.0,0.0,185.0,18.79,1564.6299999999994,0.6959914586582759,0.932001735735732,0.932001735735732,1168.8086668060585,1172.9521447254765,0.39604821354087405,0.25400306720819027,2.9688098634825453,3.2986776260917168,4.645456014874617
2026-04-18,199.0,0.0,186.0,19.625,1584.2549999999994,0.6959914586582759,0.932001735735732,0.932001735735732,1185.5609577699222,1189.7044356893402,0.40444339218678665,0.254011293121478,3.011458719574759,3.3460652439719545,4.811680976698636
2026-04-19,200.0,0.0,187.0,18.87,1603.1249999999993,0.6959914586582759,0.932001735735732,0.932001735735732,1202.2901369254062,1206.4336148448242,0.41283857083269926,0.25401924019024763,3.0540482707002043,3.3933869674446715,4.980623293570644
2026-04-20,201.0,0.0,188.0,19.4,1622.5249999999994,0.6959914586582759,0.932001735735732,0.932001735735732,1218.9962042725103,1223.1396821919284,0.42123374947861186,0.2540269223567248,3.096578541358752,3.4406428237319466,5.152277144657837
2026-04-21,202.0,0.0,189.0,18.25,1640.7749999999994,0.6959914586582759,0.9284447494916073,0.9284447494916073,1235.5768770945162,1239.7203550139343,0.4296289281245244,0.25403435264889135,3.1387897212064426,3.487544134673825,5.326197272987915
2026-04-22,203.0,0.0,190.0,17.58,1658.3549999999993,0.6959914586582759,0.9246162583638375,0.9246162583638375,1252.0248938402533,1256.1683717596713,0.438024106770437,0.2540415432542137,3.18066336223871,3.5340704024874556,5.502320289933043
2026-04-23,204.0,0.0,191.0,16.95,1675.3049999999994,0.6959914586582759,0.9204955383752176,0.9204955383752176,1268.3324882844317,1272.4759662038498,0.4464192854163496,0.25404850558635134,3.2221797323527834,3.5801997026142036,5.6805781154220165
2026-04-24,205.0,0.0,192.0,16.825000000000003,1692.1299999999994,0.6959914586582759,0.9160602836866415,0.9160602836866415,1284.491357673664,1288.634835593082,0.45481446406226217,0.25405525034560966,3.2633177344055473,3.6259085937839415,5.860897621222289
2026-04-25,206.0,0.0,193.0,19.41,1711.5399999999995,0.6959914586582759,0.9112864858535292,0.9112864858535292,1300.4926293912251,1304.6361073106432,0.4632096427081748,0.2540617875738138,3.3040548214970404,3.6711720238856005,6.04320025131547
2026-04-26,207.0,0.0,194.0,19.97,1731.5099999999995,0.6959914586582759,0.9061483038658915,0.9061483038658915,1316.3268261702246,1320.4703040896427,0.4716048213540874,0.2540681267041936,3.3443669085554566,3.715963231728285,6.227401618635733
2026-04-27,208.0,0.0,195.0,20.58,1752.0899999999995,0.6959914586582759,0.9006179242685487,0.9006179242685487,1331.983829910516,1336.1273078299341,0.48,0.2540659726111637,3.3841176724855813,3.760130747206201,6.4134110775836835
2026-04-28,209.0,0.0,196.0,19.25,1771.3399999999995,0.6959914586582759,0.8946654106043199,0.8946654106043199,1347.4528441868279,1351.596322106246,0.48,0.2540659726111637,3.423419174060052,3.803799082288947,6.48766234610998
2026-04-29,210.0,0.0,197.0,18.18,1789.5199999999995,0.6959914586582759,0.8882585413652079,0.8882585413652079,1358.7215990835273,1366.8658334952709,0.48,0.2540659726111637,3.4520492457895195,3.835610273099466,6.5609560007773
2026-04-30,211.0,0.0,198.0,19.384999999999998,1808.9049999999995,0.6959914586582759,0.8813626355743894,0.8813626355743894,1373.7793374881321,1381.9235718998757,0.48,0.2540659726111637,3.4903058353204237,3.8781175948004707,6.633233145119402
2026-05-01,212.0,0.0,199.0,18.39,1827.2949999999996,0.6959914586582759,0.8739403650548753,0.8739403650548753,1388.612235700122,1396.7564701118656,0.48,0.2540659726111637,3.52799118242914,3.919990202699044,6.704431056536954
2026-05-02,213.0,0.0,200.0,20.134999999999998,1847.4299999999996,0.6959914586582759,0.8659515523686293,0.8659515523686293,1403.2063885225998,1411.3506229343434,0.48,0.2540659726111637,3.565069958741928,3.9611888430465862,6.774482990084848
2026-05-03,214.0,0.0,201.0,19.855,1867.2849999999996,0.6959914586582759,0.857352953332373,0.857352953332373,1417.5470118734672,1425.6912462852108,0.48,0.2540659726111637,3.6015046029368127,4.001671781040903,6.843317982169012
2026-05-04,215.0,0.0,202.0,19.89,1887.1749999999997,0.6959914586582759,0.8480980229328162,0.8480980229328162,1431.618402419027,1439.7626368307706,0.48,0.2540659726111637,3.6372552181863047,4.041394686873672,6.9108606567876985
2026-05-05,216.0,0.0,203.0,20.12,1907.2949999999996,0.6959914586582759,0.8381366633741856,0.8381366633741856,1445.4038984489132,1453.5481328606568,0.48,0.2540659726111637,3.6722794727539085,4.080310525282121,6.977031037731153
2026-05-06,217.0,0.0,204.0,20.31,1927.6049999999996,0.6959914586582759,0.8274149528942154,0.8274149528942154,1458.88584291124,1467.0300773229835,0.48,0.2540659726111637,3.7065325060790153,4.118369451198906,7.041744371150321
2026-05-07,218.0,0.0,205.0,20.52,1948.1249999999995,0.6959914586582759,0.8158748538806524,0.8158748538806524,1472.0455497939615,1480.189784205705,0.48,0.2540659726111637,3.739966843363381,4.155518714848201,7.104910964187384
2026-05-08,219.0,0.0,206.0,20.23,1968.3549999999996,0.6959914586582759,0.8034538987082823,0.8034538987082823,1484.8632753837312,1493.0075097954748,0.48,0.2540659726111637,3.772532322549659,4.191702580610732,7.166436047018279
2026-05-09,220.0,0.0,207.0,19.265,1987.6199999999997,0.6959914586582759,0.7900848515958876,0.7900848515958876,1497.318196382116,1505.4624307938595,0.48,0.2540659726111637,3.804176038722157,4.226862265246841,7.2262196678105255
2026-05-10,221.0,0.0,208.0,20.565,2008.1849999999997,0.6959914586582759,0.7756953446527328,0.7756953446527328,1508.0595123734909,1517.5326318562895,0.48,0.2540659726111637,3.831466067666882,4.2571845196298685,7.284156632910189
2026-05-11,222.0,0.0,209.0,20.740000000000002,2028.9249999999997,0.6959914586582759,0.7602074861444679,0.7602074861444679,1515.2148817196694,1529.1951058867671,0.48,0.2540659726111637,3.849645426390172,4.277383807100191,7.340136508256482
2026-05-12,223.0,0.0,210.0,20.1,2049.0249999999996,0.6959914586582759,0.7435374388579522,0.7435374388579522,1526.4455472648324,1540.4257714319301,0.48,0.2540659726111637,3.878178726038197,4.309087473375774,7.394043702873264
2026-05-13,224.0,0.0,211.0,21.305,2070.3299999999995,0.6959914586582759,0.7255949662826524,0.7255949662826524,1537.2192886862492,1551.199512853347,0.48,0.2540659726111637,3.9055511369671314,4.339501263296812,7.445757661696065
2026-05-14,225.0,0.0,212.0,21.91,2092.2399999999993,0.6959914586582759,0.7062829441520494,0.7062829441520494,1547.5100265600047,1561.4902507271024,0.48,0.2540659726111637,3.9316964002349537,4.368551555816615,7.495153203490092
2026-05-15,226.0,0.0,213.0,21.57,2113.8099999999995,0.6959914586582759,0.6854968347009854,0.6854968347009854,1557.2908281061796,1571.2710522732773,0.48,0.2540659726111637,3.9565460888124107,4.396162320902678,7.5421010509117306
2026-05-16,227.0,0.0,214.0,20.509999999999998,2134.3199999999997,0.6959914586582759,0.6631241207930545,0.6631241207930545,1566.5340705878873,1580.514294754985,0.48,0.2540659726111637,3.9800300227243692,4.422255580804855,7.586468614823928
2026-05-17,228.0,0.0,215.0,21.43,2155.7499999999995,0.6959914586582759,0.6390436968549181,0.6390436968549181,1575.2116748099425,1589.1918989770402,0.48,0.2540659726111637,4.002076862290481,4.446752069211646,7.628121115089792
2026-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
